|| '''Organization''' || '''Platform''' || '''Python Version''' || '''Services Offered (Related to Python)''' || '''Notes''' || '''Last Update''' ||
|| [http://www.anchor.net.au Anchor - Australia] || Linux  || 1.5.2/2.2.2 || CGI, MySQL, PostGresql, Python Modules || Linux webhosting in Sydney, Australia || 2003-10 ||
|| [http://www.quadrahosting.com.au Quadra Hosting Australia] || FreeBSD || 2.3 || cgi/suExec, MySQL, PostgreSQL, Python Modules || Provides web hosting service for Australia || 2003-08 ||
|| [http://www.apex-internet.com Apex Internet Solutions] || RedHat Linux || 1.5.2/2.2.2 || Mailman || Mailman hosting for a low monthly cost.  Never any setup fees.  [http://www.apex-internet.com/maillist_manager.html Click here for more details.] || 07-21-2003 ||
|| [http://www.synergyconnect.com Synergy Connect] || Linux (RedHat) || Python 2.2.2 || MySQL, PHP, Private CGI-Bin, Tomcat || Low cost Python hosting available from just $4.95 / month. 24 /7 Technical Support || 06-13-2003 ||
|| [http://www.python.netregistry.com.au NetRegistry.com] || Linux (Debian) || Python 2.1.3 2.2.1 || Zope || Serving primarily an Australian Python and Zope Hosting client base || 03-12-2003 ||
|| [http://www.pghoster.com pgHoster.com] || Linux (RedHat 7.1/2) || 1.5.2/2.2.2 || Zope || Oriented towards PostgreSQL enthusiasts but do support mySQL too :)  || 02-25-2003 ||
|| [http://www.iniquinet.com Iniquinet.com] || Linux (Debian/RedHat), Solaris || 2.2.2 || Zope || Flexible web hosting services and dedicated servers/colocation.  || 02-18-2003 ||
|| [http://www.hardhathosting.com?python-web-hosting HardHatHosting.com] || Linux (RedHat 7.2) || 1.5.2 & 2.2.2 || Zope, Python modules, mod_python || Will compile different version of Python for you. || 12-17-2003 ||
|| [http://www.odsol.com ODSOL Premium Web Hosting] || Linux  || Any || [http://www.odsol.com/virtual_private_server virtual dedicated server], MySQL, Mailman|| Click for: [http://www.odsol.com/web_hosting/standard.html cheap web hosting], [http://www.odsol.com/web_hosting/webmaster.html affordable web site hosting], [http://www.odsol.com/ecommerce_hosting ecommerce web hosting], || 02-01-2004 ||
|| [http://dkg.hostingautos.com HostingAutos.com] || Linux RedHat, Apache, Windows || 2.2.1 || Mailman || &#160; || 2003-02-14 ||
|| [http://baremetal.com/ BareMetal Web Hosting] || Linux 2.4 / RedHat || 1.5 ||  &#160;  || In business since 1995. Excellent customer service.|| 2003-02-11 ||
|| [http://www.jpberlin.de JPBerlin -- Mailbox and Political Provider (German)] || Linux (SuSE, Apache, Postfix) || 2.2.2 || Mailman || Specialized in organizing infrastructure for political organizations and networks. Uncommercial project since 1989. || 02-10-2003 ||
|| [http://www.fluidhosting.com Fluid Hosting] || FreeBSD and Windows || 2.2.2 || &#160; || &#160;  || 2003-02 ||
|| [http://joeyt.HostingMidwest.com HostingMidwest.com] || Linux (RedHat 8.0) || 2.2.2 || Mailman || affordable web hosting packages available with Mailmain and CGI implementation from any directory. || 2003-07-27 ||
|| [http://www.nleinternet.net NLE Internet] || Linux Mandrake, Apache || 2.2.2 || Mailman || &#160; || 2003-02-06 ||
|| [http://www.fantasticwebsites.com Fantastic Websites] || FreeBSD/Apache/Sendmail || 2.1.3 || Zope, Mailman|| &#160;|| 02-05-2003 ||
|| [http://www.nk.ca/ nk.ca] || BSDI BSD/OS 4.3.1, Apache 1.3.27 || 2.2.2 || &#160; || Up-to-date modules. || 2003-01 ||
|| [mailto:service@fionet.com fionet.com] || Debian GNU/Linux || 2.2 || WebWare || Very flexible hoster. Everything is negotiable if not installed. No fixed prices, mail them for offers (see link). || 2003-01 ||
|| [http://www.gradwell.com/ gradwell.com] || FreeBSD || 2.2.2 || &#160; || Good, cheap, helpful UK-based web hosting || 2003-04 ||
|| [http://www.afhosting.com/ AF Hosting.com] || Unix || &#160; || Mailman || &#160; || 2002-03 ||
|| [http://www.aidan.net/ Aidan.net] || Linux || 1.5.2, 2.2.2 || Mailman || Developer-aimed hosting in Austin, TX || 2003-02 ||
|| [http://www.dotservant.com/ Dotservant.com]   || Linux (Red Hat) || 1.5.2          	    || &#160;                     || &#160; 	 || 2002-10 ||
|| [http://fsdata.se/dedicerad/ FS Data] (Sweden/Swedish) || Linux 2.4 / Apache 1.3 (Win 2000 option) || 2.2.2 || Python, CGI, MySQL || Updated python from 1.6 when I asked them. They don't seem to be big Python fans, but they are responsive. They don't allow long-running processes though. || 2004-04 ||
|| [http://www.FutureQuest.net/ FutureQuest] || Apache under Linux || 1.5.2 and 2.4.1 || MySQLdb || Clients can install custom modules in their own account. Offers a stable platform for developers. Knowledgeable and prompt support. || 2003-05 ||
|| [http://www.gocept.com/ gocept] || Linux (Debian)  || 2.1.3, 2.2.1 || &#160; || Daily Python and Zope developers. Additional services on request. || 2002-11 ||
|| [http://icdsoft.com/ ICDSoft.com]             || Highly customized RedHat Linux || 2.4.3    || PHP, Perl, Ruby, MySQL, CGI                 || 24/7 technical support service || 2006-08 ||
|| [http://imeme.net/ imeme.net]                 || FreeBSD 4.7 	    || 2.2.x (upgradable by user)         	    || Zope, Mailman, Apache, MySQL, and anything else you feel like installing - you get root access in a Virtual Server (BSD Jail)  || Good, fast support; owners are knowledgable and very active on the iMeme mailing list. 	 || 2003-06 ||
|| [http://www.modwest.com/ modwest.com]         || Linux?   	    || &#160;         	    || PIL                 || Responsive to requests for new packages; seem PHP-focused though || 2002-05 ||
|| [http://phpwebhosting.com/ phpwebhosting.com] || Red Hat Linux  	    || 2.2         	    || &#160; || Happy to let users compile programs such as python and install in home dir. May run cron jobs, but not daemons.  || 2002-10 ||
|| [http://www.iserver.com/ viaVerio]            || BSD      	    || &#160;         	    || &#160;                     || Can install packages; not sure what's available by default || 2002-05 ||
|| [http://www.valueweb.net/ ValueWeb]           || Unix, version unknown. Apache 1.3.12      	    || 1.5.1         	    || &#160; || Polite but firm in refusal of requests to upgrade Python version. However, 1.5.1 support is solid and reliable. || 2002-10 ||
|| [http://www.hostway.com Hostway]           || Red Hat Linux 6.2 and 7.2      	    || 2.1.3         	    || Python            || Good tech support, but they seem to run an old Apache (1.3.19). || 2002-11 ||
|| [http://www.thinkhost.com Thinkhost]        || FreeBSD || 2.2.2 ||MySQLdb || Good tech support.  Have installed additional software at my request || 2002-11||
|| [http://www.LaneStLabs.com Lane Street Labs] || FreeBSD || 2.1.3, 2.2.2 || Zope (shared and dedicated), PIL || Specialize in Zope hosting. || 2002-12 ||
|| [http://www.host1.com.au Host1 web hosting Australia] || Debian GNU/Linux || 2.2 || &#160; || Premium Australian Web Hosting. || 2003-1 ||
|| [http://nyip.net/ nyip.net] || Debian GNU/Linux || 2.2 || Mailman || Willing to install new packages on request || 2003-02-05 ||
|| [http://www.tiopan.com Tiopan Consulting] || Unix and Linux || &#160; || Mailman || &#160; || 2003-02-05 ||
|| [http://www.comconnect.com ComConnect] || Linux-2.4, Apache || 1.5, 2.2 || Mailman || Excellent support || 2003-02-06 ||
|| [http://www.power-netz.de Power-Netz] || Linux-2.6, Apache || 1.6, 2.1, 2.4 || MailMan, Phython-Hosting, SpamAssassin, Ruby || easy 1-premium hosting: klick installmanager for Typo3, Joomla!, WordPress, osCommerce etc.  || 2006-05-10 ||
|| [http://www.ciadsl.com.au CI ADSL] || Linux-2.4.x, Apache || 1.6 und 2.1 || spamassasins || &#160; || 2003-02-06 ||
|| [http://www.network-lynx.net/ Network Lynx] || FreeBSD, Apache || Python 2.1.3 & 2.2.1 || Mailman || &#160;|| 2002-02-07 ||
|| [http://www.nexus.net.pk/ Nexus Technologies] || Redhat 7.1, 7.2, 7.3 || Python 2.1.3 & 2.2.1 || Mailman || &#160; || 2002-02-07 ||
|| [http://dynamicdns.constanttime.com/ Constant Time Dynamic DNS] || Redhat 8.0 || Python 2.2 || Mailman || &#160; || 2003-03-08 ||
|| [http://www.your-site.com/ Your-Site] || SunOS + Zeus Web Server || Python 2.2.2 || FastCGI || &#160; || 2003-03-20 ||
|| [http://www.34sp.com/ 34SP] || FreeBSD || Python 2.2.1 || &#160; || &#160; || 2003-04-13 ||
|| [http://wikiwikiweb.de/ WikiWikiWeb.de] || GNU/Linux || Python 2.4 || MoinMoin Wiki || German Wiki hosting || 2003-05 ||
|| [http://www.freeshell.org] || NetBSD || Python 2.1/2.2 || CGI and shell access ||  Lifetime fee|| 2003-06 ||
|| [http://www.neathosting.net/ Neat Hosting] ||Linux Apache PHP Perl Python MySQL || 1.5 & 2.2 || cgi (with SuExec) || Packages can be installed upon request || 2003-07-28 ||
|| [http://www.jc-hosting.com/ J.C. Hosting] ||Linux Apache Tomcat Perl PHP Python Ruby MySQL || 2.2.2 || cgi || Definite possibility to add packages || 2003-08-10 ||
|| [http://www.krellen.com/ Krellen.com] ||Red Hat Linux V7.3 || Python 1.5.2 || &#160; || $14.95 for 1Gb HDD and 10Gb monthly transfer || 2003-08-26 ||
|| [http://www.mybes.com/ MyBes.com] || Linux || 2.2 || Mailman || Worldwide low cost hosting  provider|| 2003-09 ||
|| [http://www.sbanetweb.com/ SBA.NET.WEB] || FreeBSD 3.2 & 4.6 || 2.21/1.5.2 || Mailman, Roxen, MySQL, shell access, CGI || Plans starting at $20 USD/mo || 2003-11-21 ||
|| [http://www.infoteam.com/ InfoTeam] || FreeBSD || 2.3 || mod_python, Plone, Zope, Mailman, MYSQL, SSH || Regular updates; variety of modules.  Plans starting at US$ 8.95 || 2003-11-21 ||
|| [http://www.hostaccino.com.au/ Hostaccino] || Linux || 1.5/2.1.1 || mod_python, Mailman, MYSQL, CGI, Postgresql || Starting at AU$14.95 per month || 2003-11-26 ||
|| [http://www.pair.com/ Pair Networks] || FreeBSD || 2.1/2.2/2.3 || CGI, cron, MySQL, shell || high-end hosting, low prices || 2003-11-28 ||
|| [http://www.stalig.com/ Stalig] || Linux Debian || 2.1.3 || Mailman || Promotion of culture in Brittany || 2003-12-12 ||
|| [http://www.webhotell.de/ Webhotell] || FreeBSD || 2.3 || &#160; || &#160; || 2004-03 ||
|| [http://www.renai-soft.com/ ] || Redhat Linux 7.3 || 1.5/2.1/2.2/2.3 || Mailman,cgi,mod_python,Cheetah,pso,pycurl,mysql || Commercial || 2004-01-11 ||
|| [http://www.easent.net/ EAS*Ent.Net] || Red Hat Linux 9 and ES3 || 2.2.2 || Mailman, CGI, mod_python, mysql, more || Linux Web Hosting, Mailman Hosting, IIS Web Hosting, Awesome Support, Great Rates! || 2004-03-05 ||
|| [http://www.digitalpacific.com.au web hosting Australia] || Debian GNU/Linux || 2.2 || &#160; || Quality Australian Web Hosting. || 2004-03 ||
|| [http://www.geekisp.com/ GeekISP] || OpenBSD || 2.2 || Python, TMDA, PostgreSQL, MySQL || Hosting, Mail, Database packages starting at 5 USD/month || 2004-03 ||
|| [http://www.hostingmetro.com/ Web Hosting Metro] || Redhat || 2.2 || Python, PostgreSQL, MySQL, Mailman || Hosting as low as $6.36/month || 2004-03 ||
|| [http://www.net1.lt/ NET1 hosting] || Redhat ES Linux || 2.3 || Python, PHP, Perl, MySQL, Mailman, CGI, cronjobs, Plesk || Reseller hosting for Lithuanian market || 2004-03-29 ||
|| [http://edgreenberg.com/ Ed Greenberg] || FreeBSD || 2.3 || Mailman + the usual hosting products || Very small hosting company - High Personal Service Level || 2004-06-21 ||
|| [http://www.hostcentral.net.au/ Hostcentral] || Redhat Linux || 1.5.2 / 2.2.2 ||  Python, PHP, Perl, MySQL, PgSQL, Mailman || High speed, high availability, Australian based Web Hosting || 2004-06-28 ||
|| [http://www.linsignia.com Linsignia] || Linux || 2.2 ||  CGI, Python, MySQL, SHH, PHP, Perl || High availability, and great personal service || 2004-07-16 ||
|| [http://www.domainfactory.de domainfactory GmbH] || Linux || 2.3.4 ||  CGI, Python, MySQL || German Web Hoster with Multiple Domain Support || 2004-07-28 ||
|| [http://www.site5.com Site5.com] || Fedora Core r1 || 2.4.3 ||  CGI, FastCGI, Python, MySQL, shell|| 55 Gb webspace, unlimited domains for $5/mo. You can use MySQLdb binaries for Red Hat.|| 2005-10-10 ||
|| [http://www.devisland.net Development Island] || Linux || 2.4.2 || Python, Mod_python, PSP, MySQLdb module, PHP, JSP, MySQL, Servlets || 100Mb+ webspace for £1.00/mo. Many other features || 2004-09-01 ||
|| [http://www.cybnet.net Cyb I.S. NETwork] || FreeBSD, Solaris || 2.3.4 || Python, Mod_python, CGI, PHP, JSP, MySQL, Servlets || Data centers in USA, Europe and Asia. High speed and connectivity. || 2004-09-22 ||
|| [http://www.westhost.com WestHost] || Linux || 2.2.2 || Python(no mod_python and no C compiler), CGI, PHP, MySQL + what you install yourself (it's Virtual Private Server) || Good control panel, semi-root SSH access. || 2005-03-02 ||
|| [http://www.commerceguard.com/ Commerce Guard]|| FreeBSD  || 2.4 || mailman, ruby, perl, php, ftp, mysql|| Open Source hosting for small businesses and developers || 2005-03 ||
|| [http://www.storm-isp.net/ Storm-NET Heilbronn]|| FreeBSD || 2.4/2.3.4 || Mailman, CGI, Python-CGI, Perl, PHP, FTP, MySQL, MoinMoin, StormCM, phPay, APeShop, SVN || German Webhoster || 2005-05-10 ||
|| [http://www.lunarpages.com/ Lunarpages]|| Red Hat Linux 3.2.3-49 || 2.2.3 || Python-CGI, Perl, PHP, FTP, MySQL || Good service, intro pkgs start at US$7.95/mo || 2005-08-05 ||
|| [http://icn.net/elist/ icn.net]|| Linux & Windows || ||Mailman $1/1,000 messages, volume discounts. Shared hosting from $8.95. Dedicated servers from $120. ||Multi-homed network in Roanoke, VA || 2005-09-03 ||
|| [http://hosting.blumenthals.com Blumenthals of Olean & Bradford] || Linux (CentOS)/cPanel || 2.2 || CGI, Python, MySQL, mailman || Business class hosting || 2005-11 ||
|| [http://www.weycrest.co.uk Weycrest] || Linux (Centos) || 2.2.3 || Plesk, Mailman, Python, MySQL, PHP, CGI, VPS || [http://www.weycrest.co.uk/web-hosting.php Cheap Web Hosting] [http://www.weycrest.co.uk/resell.php Reseller Hosting] London UK Based || 2005-11 ||
|| [http://www.planet-work.fr/ Planet-Work] || Debian Sarge || 2.3/2.4 || Mailman, PostgreSQL, CGI, SVN, WebDAV, SSH || Located in France || 2006-03 ||
|| [http://www.hostfab.ru/ HostFab] || Debian Sarge || 2.3/2.4 || Mysql, CGI , SVN || Located in Russia || 2006-04 ||
|| [http://www.proserver1.at/ proserver1.at] || Debian GNU/Linux || 2.3/2.4 || Mailman, mod_python/apache2 || Located in Austria/Europe, shared and dedicated list-hosting || 2006-06 ||
|| [http://www.eukhost.com/ UK Web Hosting] || Linux || 2.4 || python, blog, apache, Mailman, MYSQL, MSSQL || Affordable Web Hosting packages || 2006-10-10 ||
|| [http://www.webhosting.uk.com/ Web Hosting UK] || CentOS Linux || 2.4 || python, php, cgi, apache, Mailman, MYSQL || Cheap Web Hosting Service in UK || 2006-10-11 ||
|| [http://www.bodhost.com/ Managed dedicated server] || CentOS Linux || 2.4 || python, php, cgi, apache, Mailman, MYSQL || Managed dedicated server with exclusive features,cheap price and quality 24/7 customer support || 2006-11-10 ||
|| [http://www.webfaction.com/?affiliate=itgoesclick WebFaction] || Linux || 2.5 (2.4 also) || Django, Twisted, CherryPy, Pylons, Zope, Plone, TurboGears all have point and click setup. SSH access, svn and your own instance of Apache are available, || The support is very Python friendly with good support staff and a custom AJAX control panel many kinds of apps. (Author of this entry has 3 accounts and loves it!) || 2006-11-24 ||

----
See also: PythonHosting
